Point# (XPN),XPN X,XPN Y,XPN Z,HTol,LTol,XPR X,XPR Y,XPR Z,I,J,K,Deviation,Error,Correction_Magnitude,Remarks
24.0,7.093,5.296,220.0,0.08,0.0,7.147,5.237,220.0,0.726,-0.688,0.0,0.08,0.0,0.777,Out of spec
25.0,6.476,4.639,220.0,0.08,0.0,6.527,4.578,220.0,0.73,-0.683,0.0,0.08,-0.0,0.782,Within tolerance
26.0,5.862,3.98,220.0,0.08,0.0,5.923,3.928,220.0,0.733,-0.68,0.0,0.08,-0.0,0.778,Within tolerance
27.0,5.251,3.318,220.0,0.08,0.0,5.307,3.261,220.0,0.737,-0.676,0.0,0.08,-0.0,0.78,Within tolerance
28.0,4.642,2.655,220.0,0.08,0.0,4.707,2.608,220.0,0.739,-0.673,0.0,0.08,0.0,0.787,Out of spec
29.0,4.035,1.989,220.0,0.08,0.0,4.092,1.933,220.0,0.742,-0.671,0.0,0.08,-0.0,0.783,Within tolerance
30.0,3.43,1.321,220.0,0.08,0.0,3.494,1.273,220.0,0.743,-0.669,0.0,0.08,0.0,0.788,Out of spec
31.0,2.827,0.652,220.0,0.08,0.0,2.882,0.594,220.0,0.744,-0.668,0.0,0.08,0.0,0.787,Out of spec
32.0,2.226,-0.019,220.0,0.08,0.0,2.287,-0.071,220.0,0.745,-0.667,0.0,0.08,0.0,0.785,Out of spec
33.0,1.626,-0.692,220.0,0.08,0.0,1.679,-0.752,220.0,0.746,-0.666,0.0,0.08,-0.0,0.789,Within tolerance
34.0,1.028,-1.366,220.0,0.08,0.0,1.089,-1.418,220.0,0.748,-0.664,0.0,0.08,0.0,0.791,Out of spec
35.0,0.432,-2.041,220.0,0.08,0.0,0.497,-2.087,220.0,0.749,-0.663,0.0,0.08,-0.0,0.788,Within tolerance
36.0,-0.163,-2.717,220.0,0.08,0.0,-0.106,-2.773,220.0,0.751,-0.661,0.0,0.08,-0.0,0.779,Within tolerance
37.0,-0.757,-3.395,220.0,0.08,0.0,-0.692,-3.442,220.0,0.752,-0.66,0.0,0.08,-0.0,0.784,Within tolerance
38.0,-1.349,-4.074,220.0,0.08,0.0,-1.291,-4.128,220.0,0.753,-0.658,0.0,0.08,-0.0,0.813,Within tolerance
39.0,-1.941,-4.753,220.0,0.08,0.0,-1.887,-4.812,220.0,0.754,-0.657,0.0,0.08,-0.0,0.791,Within tolerance
40.0,-2.532,-5.433,220.0,0.08,0.0,-2.469,-5.483,220.0,0.755,-0.656,0.0,0.08,-0.0,0.776,Within tolerance
41.0,-3.121,-6.114,220.0,0.08,0.0,-3.054,-6.158,220.0,0.756,-0.655,0.0,0.08,0.0,0.781,Out of spec
42.0,-3.71,-6.796,220.0,0.08,0.0,-3.653,-6.853,220.0,0.757,-0.654,0.0,0.08,0.0,0.772,Out of spec
43.0,-4.297,-7.48,220.0,0.08,0.0,-4.235,-7.53,220.0,0.758,-0.653,0.0,0.08,0.0,0.77,Out of spec
44.0,-4.883,-8.164,220.0,0.08,0.0,-4.816,-8.207,220.0,0.759,-0.651,0.0,0.08,0.0,0.776,Out of spec
45.0,-5.468,-8.849,220.0,0.08,0.0,-5.412,-8.906,220.0,0.76,-0.649,0.0,0.08,-0.0,0.771,Within tolerance
46.0,-6.052,-9.535,220.0,0.08,0.0,-5.991,-9.587,220.0,0.762,-0.648,0.0,0.08,0.0,0.768,Out of spec
47.0,-6.634,-10.223,220.0,0.08,0.0,-6.568,-10.269,220.0,0.763,-0.646,0.0,0.08,0.0,0.771,Out of spec
48.0,-7.214,-10.912,220.0,0.08,0.0,-7.144,-10.95,220.0,0.764,-0.645,0.0,0.08,0.0,0.783,Out of spec
49.0,-7.793,-11.602,220.0,0.08,0.0,-7.75,-11.669,220.0,0.767,-0.642,0.0,0.08,0.0,0.816,Out of spec
50.0,-8.371,-12.293,220.0,0.08,0.0,-8.306,-12.339,220.0,0.768,-0.641,0.0,0.08,-0.0,0.777,Within tolerance
51.0,-8.947,-12.986,220.0,0.08,0.0,-8.894,-13.046,220.0,0.769,-0.639,0.0,0.08,-0.0,0.783,Within tolerance
52.0,-9.522,-13.68,220.0,0.08,0.0,-9.463,-13.735,220.0,0.77,-0.638,0.0,0.08,0.0,0.775,Within tolerance
53.0,-10.095,-14.375,220.0,0.08,0.0,-10.032,-14.425,220.0,0.771,-0.637,0.0,0.08,-0.0,0.771,Within tolerance
54.0,-10.666,-15.071,220.0,0.08,0.0,-10.6,-15.116,220.0,0.772,-0.636,0.0,0.08,-0.0,0.773,Within tolerance
55.0,-11.237,-15.769,220.0,0.08,0.0,-11.182,-15.828,220.0,0.773,-0.635,0.0,0.08,-0.0,0.817,Within tolerance
56.0,-11.806,-16.467,220.0,0.08,0.0,-11.747,-16.521,220.0,0.774,-0.634,0.0,0.08,0.0,0.807,Out of spec
57.0,-12.373,-17.167,220.0,0.08,0.0,-12.31,-17.216,220.0,0.774,-0.633,0.0,0.08,0.0,0.801,Out of spec
58.0,-12.94,-17.867,220.0,0.08,0.0,-12.873,-17.91,220.0,0.775,-0.632,0.0,0.08,0.0,0.805,Out of spec
59.0,-13.506,-18.568,220.0,0.08,0.0,-13.45,-18.626,220.0,0.777,-0.63,0.0,0.08,0.0,0.801,Within tolerance
60.0,-14.07,-19.27,220.0,0.08,0.0,-14.009,-19.322,220.0,0.778,-0.628,0.0,0.08,-0.0,0.793,Within tolerance
61.0,-14.634,-19.973,220.0,0.08,0.0,-14.569,-20.02,220.0,0.78,-0.626,0.0,0.08,0.0,0.793,Out of spec
62.0,-15.196,-20.677,220.0,0.08,0.0,-15.128,-20.718,220.0,0.781,-0.624,0.0,0.08,0.0,0.797,Out of spec
63.0,-15.758,-21.381,220.0,0.08,0.0,-15.702,-21.438,220.0,0.784,-0.621,0.0,0.08,0.0,0.794,Out of spec
64.0,-16.319,-22.086,220.0,0.08,0.0,-16.258,-22.138,220.0,0.785,-0.619,0.0,0.08,-0.0,0.792,Within tolerance
65.0,-16.879,-22.792,220.0,0.08,0.0,-16.814,-22.839,220.0,0.788,-0.615,0.0,0.08,-0.0,0.798,Within tolerance
66.0,-17.439,-23.498,220.0,0.08,0.0,-17.37,-23.54,220.0,0.795,-0.607,0.0,0.08,-0.0,0.814,Within tolerance
67.0,-17.997,-24.204,220.0,0.08,0.0,-17.941,-24.261,220.0,0.797,-0.604,0.0,0.08,0.0,0.795,Out of spec
68.0,-18.555,-24.912,220.0,0.08,0.0,-18.498,-24.968,220.0,0.802,-0.598,0.0,0.08,-0.0,0.764,Within tolerance
69.0,-19.113,-25.619,220.0,0.08,0.0,-19.053,-25.672,220.0,0.799,-0.601,0.0,0.08,0.0,0.784,Out of spec
70.0,-19.669,-26.328,220.0,0.08,0.0,-19.605,-26.376,220.0,0.798,-0.603,0.0,0.08,-0.0,0.801,Within tolerance
71.0,-20.225,-27.037,220.0,0.08,0.0,-20.188,-27.107,220.0,0.522,-0.853,0.0,0.08,-0.0,0.742,Within tolerance
72.0,-20.274,-27.087,220.0,0.08,0.0,-20.231,-27.155,220.0,0.522,-0.853,0.0,0.08,-0.0,0.723,Within tolerance
73.0,-20.332,-27.128,220.0,0.08,0.0,-20.309,-27.205,220.0,0.275,-0.962,0.0,0.08,-0.0,0.708,Within tolerance
74.0,-20.396,-27.156,220.0,0.08,0.0,-20.396,-27.236,220.0,0.035,-0.999,0.0,0.08,-0.0,0.69,Within tolerance
75.0,-20.465,-27.172,220.0,0.08,0.0,-20.457,-27.251,220.0,0.035,-0.999,0.0,0.08,-0.0,0.678,Within tolerance
76.0,-20.535,-27.173,220.0,0.08,0.0,-20.546,-27.253,220.0,-0.167,-0.986,0.0,0.08,-0.0,0.683,Within tolerance
77.0,-20.604,-27.162,220.0,0.08,0.0,-20.624,-27.239,220.0,-0.281,-0.96,0.0,0.08,-0.0,0.676,Within tolerance
78.0,-20.67,-27.137,220.0,0.08,0.0,-20.7,-27.211,220.0,-0.395,-0.918,0.0,0.08,-0.0,0.683,Within tolerance
79.0,-20.73,-27.1,220.0,0.08,0.0,-20.769,-27.169,220.0,-0.492,-0.871,0.0,0.08,-0.0,0.692,Within tolerance
80.0,-20.781,-27.052,220.0,0.08,0.0,-20.814,-27.125,220.0,-0.492,-0.871,0.0,0.08,0.0,0.712,Out of spec
81.0,-20.822,-26.995,220.0,0.08,0.0,-20.872,-27.057,220.0,-0.637,-0.771,0.0,0.08,-0.0,0.74,Within tolerance
82.0,-20.851,-26.931,220.0,0.08,0.0,-20.897,-26.997,220.0,-0.637,-0.771,0.0,0.08,0.0,0.774,Out of spec
83.0,-20.868,-26.863,220.0,0.08,0.0,-20.931,-26.912,220.0,-0.779,-0.627,0.0,0.08,-0.0,0.818,Within tolerance
84.0,-20.871,-26.792,220.0,0.08,0.0,-20.936,-26.838,220.0,-0.817,-0.577,0.0,0.08,-0.0,0.859,Within tolerance
85.0,-20.86,-26.723,220.0,0.08,0.0,-20.923,-26.772,220.0,-0.817,-0.577,0.0,0.08,0.0,0.909,Out of spec
86.0,-20.836,-26.657,220.0,0.08,0.0,-20.915,-26.669,220.0,-1.0,-0.021,-0.015,0.08,-0.0,0.963,Within tolerance
87.0,-20.431,-25.827,220.0,0.08,0.0,-20.506,-25.802,220.0,-0.906,0.423,-0.018,0.08,0.0,1.09,Out of spec
88.0,-20.003,-25.009,220.0,0.08,0.0,-20.073,-24.97,220.0,-0.879,0.476,-0.018,0.08,-0.0,1.091,Within tolerance
89.0,-19.555,-24.201,220.0,0.08,0.0,-19.627,-24.166,220.0,-0.867,0.498,-0.018,0.08,-0.0,1.088,Within tolerance
90.0,-19.093,-23.402,220.0,0.08,0.0,-19.158,-23.355,220.0,-0.861,0.508,-0.018,0.08,-0.0,1.087,Within tolerance
